model,display_name,n_folds,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,pearson_mean,pearson_std,spearman_mean,spearman_std,source_path,notes
ridge_C,Ridge [C],5,0.013884484767913822,0.030166722329902144,0.9129612445831299,0.04968954492695409,1.1302009483567759,0.06001972219716082,0.17665038488173648,0.12673296736386758,0.18596058830608675,0.05456166662624407,outputs/pipeline/baseline_results_classical.csv,feature set: C
xgboost_A,XGBoost [A],5,0.3518331050872803,0.053463569801952875,0.7301063776016236,0.05390723619183982,0.9163052615668825,0.07136563504031651,0.6032479935458468,0.04791054068237945,0.5587701397704083,0.09622896406070561,outputs/pipeline/baseline_results_classical.csv,feature set: A
xgboost_A_C_E,XGBoost [A+C+E],5,0.3584135413169861,0.05313257134933865,0.7291462421417236,0.053272407645911304,0.9116078342460728,0.07009472025404351,0.6099955759129443,0.04683685376556047,0.565558102784685,0.10583141828369694,outputs/pipeline/baseline_results_classical.csv,feature set: A+C+E
xgboost_C,XGBoost [C],5,-0.012922000885009782,0.06377486330361491,0.9195502161979675,0.0467168728067533,1.144585012682614,0.05560704324659903,0.16216452789594762,0.07471432297361104,0.17884348947581913,0.065353106376831,outputs/pipeline/baseline_results_classical.csv,feature set: C
cloudpred,CloudPred,5,0.05001549681329872,0.02505439656140759,0.9155641930749164,0.023506843792625267,1.128349473613348,0.045287502337161854,0.23190272837168346,0.05371684777713554,0.24966636774497003,0.07506534649744655,outputs/baselines/cloudpred/results.csv,
cloudpred_pertype,CloudPred (per-type),5,0.10265297946761616,0.08147456520456842,0.8703497477438514,0.04555413982612044,1.095547510003189,0.061529593096097714,0.3141390872479518,0.11427128894523667,0.31083287081288513,0.14822704730150824,outputs/baselines/cloudpred_pertype/results.csv,
gpio,GPIO,5,0.15293704271316524,0.07009042528665926,0.8442045688629151,0.028807775751973397,1.0638879238443848,0.03446751842977338,0.39554210305213927,0.09086626734681111,0.38697369241382346,0.09448876991726592,outputs/baselines/gpio/results.csv,
mixmil,MixMIL (Engelmann et al. 2024),5,0.15722385644912718,0.07525115886744489,0.8545529127120972,0.01491269301775976,1.0608365193537468,0.024094248020340513,0.4097847819328308,0.09285957118037111,0.3883179848997721,0.08454429087879656,outputs/baselines/mixmil/results.csv,
perceiver_io,Perceiver-IO,5,0.12458263635635372,0.05471925418526491,0.8820145130157471,0.03093882861164022,1.0822109141331318,0.03552980413872475,0.36199826598167417,0.08033866775501493,0.35031359823372804,0.0971596355717281,outputs/baselines/perceiver_io/results.csv,
scphase,scPhase (Berson et al. 2025),5,-0.07420733040953365,0.05251797092366508,0.9376594249126452,0.04543514126977686,1.2008277518586992,0.07878065507068265,-0.031469737169068195,0.0711899831464918,0.0709203541039914,0.0788413672265522,outputs/baselines/scphase/results.csv,
current_encoder_alone,Current encoder alone (mean-only reference),0,0.286,,,,,,,,,,(legacy training run; no per-fold CSV archived),reference R² only (0.286) from an earlier 5-fold run; per-fold data unavailable
p5_canonical_seed42,"ResDec-MHE (canonical, p5_canonical_seed42)",5,0.4436211705207825,0.09959473600859138,0.6697230935096741,0.05271641013921804,0.8592394247073285,0.05904880508156769,0.6722668658306248,0.06842719423911801,0.6646303824344499,0.045767040319456345,outputs/redesign/p5_canonical_seed42/best_vs_tabpfn_summary.json,
p5_filmwired_5fold_seed42,ResDec-MHE + FiLM with real metadata,5,0.43327620029449465,0.0835096992874483,0.6888507008552551,0.03365513939321202,0.868413661985797,0.048085581734766375,0.6628663780128591,0.058178518278122454,0.6440085615616545,0.031890424982884094,outputs/redesign/p5_filmwired_5fold_seed42/best_vs_tabpfn_summary.json,
p5_phase3_1stage_with_tabm,ResDec-MHE with DiffAttn,5,0.43730939626693727,0.09475326518158994,0.6677767992019653,0.04645321728234011,0.8646096862122172,0.05779839013095443,0.6651282051503131,0.06471921895582038,0.6407066774722493,0.03695711682018827,outputs/redesign/p5_phase3_1stage_with_tabm/best_vs_tabpfn_summary.json,
p5_phase3_2stage,ResDec-MHE n_stages=2,5,0.43046332597732545,0.08773826771073068,0.6761416077613831,0.04195361744486265,0.8704927930695099,0.05650863045960455,0.6623831185265658,0.05781485414337239,0.6326796872871903,0.026719685090604482,outputs/redesign/p5_phase3_2stage/best_vs_tabpfn_summary.json,
p5_phase3_3stage,ResDec-MHE n_stages=3,5,0.43101136684417723,0.09251982660856221,0.6758044600486756,0.05039820859381148,0.869737381764389,0.05944529531163237,0.6639177144518147,0.05903644728644037,0.6413871353340088,0.035478277757868416,outputs/redesign/p5_phase3_3stage/fold{0..4}/val_predictions_best.npz,per-fold val_predictions_best.npz (summary JSON absent)
p5_ablation_no_tabpfn,Ablation: no TabPFN residual,5,0.2658831000328064,0.043181033581527646,0.7621841430664062,0.03782525640739544,0.9919999613071238,0.05594830277285655,0.5299969472998782,0.04250817753599027,0.46901237476796603,0.022287633044377354,outputs/redesign/p5_ablation_no_tabpfn/best_vs_tabpfn_summary.json,
p5_ablation_k1,Ablation: k_tabm=1,5,0.4341625928878784,0.08544409338271827,0.6862956523895264,0.052855130085579335,0.8676015802657318,0.04915389858893569,0.668067602762676,0.062104188162744656,0.6427227965414343,0.0402614600239846,outputs/redesign/p5_ablation_k1/best_vs_tabpfn_summary.json,
p5_ablation_no_hyper_conn,Ablation: no HyperConn,5,0.4304650664329529,0.0901605884271352,0.6865057229995728,0.041502889777123485,0.8702795747670862,0.05678372700146533,0.661976744067465,0.061641613544268364,0.6437785162071072,0.043279670278416664,outputs/redesign/p5_ablation_no_hyper_conn/best_vs_tabpfn_summary.json,
p5_ablation_no_film,Ablation: no FiLM,5,0.4327909708023071,0.09717930750746213,0.6730947256088257,0.040370981737225434,0.8679996303042682,0.06104356624994432,0.6705950902508448,0.058102160781049975,0.6469751534702779,0.03627420831146698,outputs/redesign/p5_ablation_no_film/best_vs_tabpfn_summary.json,
p5_ablation_no_aug_u_n2,Ablation: no aug-U n=2,5,0.4426625847816467,0.08812351837722146,0.6688180685043335,0.045801957800306,0.8608942467173157,0.05559101402511823,0.6726839578259387,0.0547188494423521,0.6471032161153666,0.040081249736592134,outputs/redesign/p5_ablation_no_aug_u_n2/best_vs_tabpfn_summary.json,
p5_ablation_topk_1000,Ablation: top-k=1000,5,0.44994903802871705,0.07893228615797172,0.6659914374351501,0.022350231843547327,0.85532349254324,0.03125027132137843,0.6783320363754684,0.05421701656025053,0.6500684420108274,0.019607772362980683,outputs/redesign/p5_ablation_topk_1000/best_vs_tabpfn_summary.json,
p5_ablation_topk_4000,Ablation: top-k=4000,5,0.4404293179512024,0.06648095610474357,0.6600361466407776,0.038524111875093886,0.8636562764519399,0.03113496844740981,0.6762066417254573,0.03299064299752963,0.6523380381561381,0.039473489102275654,outputs/redesign/p5_ablation_topk_4000/best_vs_tabpfn_summary.json,
p5_ablation_zscore,Ablation: per-feature z-score,5,0.437528395652771,0.0819332557770509,0.681151020526886,0.02481218859082939,0.8651612634549364,0.045466003081858886,0.6687074989322355,0.054245268695736024,0.6464579949032514,0.027879918837436946,outputs/redesign/p5_ablation_zscore/best_vs_tabpfn_summary.json,
